air_basin,burn_day_decision_code,date,description
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/13/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/13/2020,
North Coast High,G,1/14/2020,Good
North Coast Low,B,1/14/2020,Permissive Burn Day Decision 
Lake County  ,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/14/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/14/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/14/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/14/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/14/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/14/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/14/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/14/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/14/2020,Permissive Burn Day Decision 
South Coast,NB,1/14/2020,No-Burn Day Decision
San Diego West High,B,1/14/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/14/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/14/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/14/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,1/14/2020,Good
Sacramento Valley Low,3,1/14/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,10.2p,1/14/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/14/2020,Good
Mountain Counties North,G,1/14/2020,Good
Mountain Counties South,G,1/14/2020,Good
Lake Tahoe,B,1/14/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/14/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/14/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/14/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/14/2020,
North Coast High,F,1/15/2020,Fair
North Coast Low,B,1/15/2020,Permissive Burn Day Decision 
Lake County  ,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/15/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/15/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/15/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/15/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/15/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/15/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/15/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/15/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/15/2020,Permissive Burn Day Decision 
South Coast,B,1/15/2020,Permissive Burn Day Decision 
San Diego West High,B,1/15/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/15/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/15/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/15/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/15/2020,Fair
Sacramento Valley Low,3,1/15/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/15/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/15/2020,Fair
Mountain Counties North,F,1/15/2020,Fair
Mountain Counties South,F,1/15/2020,Fair
Lake Tahoe,B,1/15/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/15/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/15/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/15/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/15/2020,
North Coast High,G,1/16/2020,Good
North Coast Low,B,1/16/2020,Permissive Burn Day Decision 
Lake County  ,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/16/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/16/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/16/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/16/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/16/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/16/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/16/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/16/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/16/2020,Permissive Burn Day Decision 
South Coast,B,1/16/2020,Permissive Burn Day Decision 
San Diego West High,B,1/16/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/16/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/16/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/16/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,1/16/2020,Good
Sacramento Valley Low,2,1/16/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,32.7p,1/16/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/16/2020,Good
Mountain Counties North,G,1/16/2020,Good
Mountain Counties South,G,1/16/2020,Good
Lake Tahoe,B,1/16/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/16/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/16/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/16/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/16/2020,
North Coast High,G,1/17/2020,Good
North Coast Low,B,1/17/2020,Permissive Burn Day Decision 
Lake County  ,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/17/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/17/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/17/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/17/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/17/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/17/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/17/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/17/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/17/2020,Permissive Burn Day Decision 
South Coast,B,1/17/2020,Permissive Burn Day Decision 
San Diego West High,B,1/17/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/17/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/17/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/17/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,1/17/2020,Good
Sacramento Valley Low,2w,1/17/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,9.9p,1/17/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/17/2020,Good
Mountain Counties North,G,1/17/2020,Good
Mountain Counties South,G,1/17/2020,Good
Lake Tahoe,B,1/17/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/17/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/17/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/17/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/17/2020,
North Coast High,G,1/18/2020,Good
North Coast Low,B,1/18/2020,Permissive Burn Day Decision 
Lake County  ,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/18/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/18/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/18/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/18/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/18/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/18/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/18/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/18/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/18/2020,Permissive Burn Day Decision 
South Coast,B,1/18/2020,Permissive Burn Day Decision 
San Diego West High,B,1/18/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/18/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/18/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/18/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/18/2020,Fair
Sacramento Valley Low,2w,1/18/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,2.4,1/18/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/18/2020,Good
Mountain Counties North,G,1/18/2020,Good
Mountain Counties South,G,1/18/2020,Good
Lake Tahoe,B,1/18/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/18/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/18/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/18/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/18/2020,
North Coast High,F,1/19/2020,Fair
North Coast Low,B,1/19/2020,Permissive Burn Day Decision 
Lake County  ,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/19/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/19/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/19/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/19/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/19/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/19/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/19/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/19/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/19/2020,Permissive Burn Day Decision 
South Coast,B,1/19/2020,Permissive Burn Day Decision 
San Diego West High,B,1/19/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/19/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/19/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/19/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/19/2020,Fair
Sacramento Valley Low,2w,1/19/2020,"The Number of Acres Allocated (in 1,000's) - Wet Conditions"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/19/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/19/2020,Fair
Mountain Counties North,F,1/19/2020,Fair
Mountain Counties South,F,1/19/2020,Fair
Lake Tahoe,B,1/19/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/19/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/19/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/19/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/19/2020,
North Coast High,F,1/20/2020,Fair
North Coast Low,B,1/20/2020,Permissive Burn Day Decision 
Lake County  ,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/20/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/20/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/20/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/20/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/20/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/20/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/20/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/20/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/20/2020,Permissive Burn Day Decision 
South Coast,NB,1/20/2020,No-Burn Day Decision
San Diego West High,B,1/20/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/20/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/20/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/20/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/20/2020,Fair
Sacramento Valley Low,2,1/20/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0.15,1/20/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/20/2020,Fair
Mountain Counties North,F,1/20/2020,Fair
Mountain Counties South,F,1/20/2020,Fair
Lake Tahoe,B,1/20/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/20/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/20/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/20/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/20/2020,
North Coast High,F,1/21/2020,Fair
North Coast Low,B,1/21/2020,Permissive Burn Day Decision 
Lake County  ,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/21/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/21/2020,Permissive Burn Day Decision 
North Central Coast Coastal,B,1/21/2020,Permissive Burn Day Decision 
North Central Coast Inland,B,1/21/2020,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,1/21/2020,Permissive Burn Day Decision 
South Central Coast High,B,1/21/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/21/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/21/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/21/2020,Permissive Burn Day Decision 
South Coast,B,1/21/2020,Permissive Burn Day Decision 
San Diego West High,B,1/21/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/21/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/21/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/21/2020,Permissive Burn Day Decision 
Sacramento Valley High,F,1/21/2020,Fair
Sacramento Valley Low,2,1/21/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,1/21/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,1/21/2020,Fair
Mountain Counties North,F,1/21/2020,Fair
Mountain Counties South,F,1/21/2020,Fair
Lake Tahoe,B,1/21/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/21/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/21/2020,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),,1/21/2020,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,1/21/2020,
North Coast High,F,1/22/2020,Fair
North Coast Low,B,1/22/2020,Permissive Burn Day Decision 
Lake County  ,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay North High,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay North Low,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay South High,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay South Low,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,1/22/2020,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,1/22/2020,Permissive Burn Day Decision 
